Top queries,9/30/25 - 10/6/25 Clicks,9/23/25 - 9/29/25 Clicks,9/30/25 - 10/6/25 Impressions,9/23/25 - 9/29/25 Impressions,9/30/25 - 10/6/25 CTR,9/23/25 - 9/29/25 CTR,9/30/25 - 10/6/25 Position,9/23/25 - 9/29/25 Position
shades,1,0,1,0,100%,0%,1,0
blinds oklahoma city,0,0,26,28,0%,0%,19.23,21.29
patio shades nichols hills ok,0,0,20,23,0%,0%,2.8,2.48
custom blinds oklahoma city,0,0,20,19,0%,0%,17.35,20.79
outdoor patio shades north okc,0,0,17,14,0%,0%,12.06,11.93
awning and shade companies near me,0,0,16,15,0%,0%,84.44,82.6
solar shades okc,0,0,14,11,0%,0%,14.86,21.55
oklahoma city outdoor blinds,0,0,13,8,0%,0%,29.62,31.38
patio shades edmond ok,0,0,12,8,0%,0%,18.25,25.5
city shade,0,0,12,10,0%,0%,18.67,17.7
outdoor roller shades oklahoma city,0,0,12,8,0%,0%,21.17,28.88
sun shade installers near me,0,0,11,8,0%,0%,15.82,35.12
sail shade installation near me,0,0,11,10,0%,0%,26.45,41.8
custom sun shades near me,0,0,10,10,0%,0%,12.7,16.8
custom window treatments oklahoma city,0,0,10,10,0%,0%,12.8,26.1
patio shade installation near me,0,0,10,13,0%,0%,16.2,13.31
sun shade company,0,0,9,4,0%,0%,2.33,2.25
sunshade installation near me,0,0,9,0,0%,0%,17.11,0
outdoor shade installation near me,0,0,9,9,0%,0%,17.22,22.78
sun shade installation near me,0,0,9,5,0%,0%,25,29.2
"blind installation oklahoma city, ok",0,0,9,7,0%,0%,37.11,30.71
patio shades oklahoma city,0,0,9,7,0%,0%,40.33,58.43
sun sails near me,0,0,9,0,0%,0%,54.89,0
zebra shades oklahoma city,0,0,8,9,0%,0%,4.88,5.22
custom blinds for windows oklahoma city,0,0,8,11,0%,0%,14.62,19.27
outdoor sun shade installation near me,0,0,8,10,0%,0%,16.88,17.2
sun sail installation near me,0,0,8,8,0%,0%,27.88,57.38
pool shade installation near me,0,0,8,10,0%,0%,28.12,29.3
shade installation near me,0,0,8,9,0%,0%,35.88,33.22
outdoor shades oklahoma city,0,0,8,8,0%,0%,36.62,39.5
patio shades oklahoma city ok,0,0,8,8,0%,0%,38.5,36.38
sun shade near me,0,0,8,8,0%,0%,43.25,51.5
motorized retractable shades oklahoma city,0,0,8,7,0%,0%,54.38,77.29
patio shades yukon ok,0,0,8,7,0%,0%,75.88,65.86
sun shade companies near me,0,0,7,7,0%,0%,17.71,17.86
shade sail installers near me,0,0,7,7,0%,0%,46.57,80
sun shade contractor,0,0,6,1,0%,0%,1,1
patio shades piedmont ok,0,0,5,12,0%,0%,9.4,12.25
shade sail company near me,0,0,5,1,0%,0%,26.8,34
"blinds oklahoma city, ok",0,0,5,6,0%,0%,30.8,39.17
sun shade sail installation near me,0,0,5,0,0%,0%,87,0
custom shades edmond,0,0,4,1,0%,0%,11,11
custom blinds installation edmond,0,0,4,0,0%,0%,13.25,0
automated window shades north okc,0,0,3,5,0%,0%,10,10
edmond window coverings,0,0,3,1,0%,0%,10,12
patio shades mustang ok,0,0,3,0,0%,0%,10.67,0
window treatment oklahoma city,0,0,3,7,0%,0%,11,11.14
blackout shades north oklahoma city,0,0,3,0,0%,0%,12,0
custom blinds north okc,0,0,3,0,0%,0%,12,0
window covering edmond,0,0,3,0,0%,0%,12.33,0
oklahoma city window coverings,0,0,3,0,0%,0%,15.33,0
custom drapes oklahoma city,0,0,3,6,0%,0%,18,48
blinds near me,0,0,3,0,0%,0%,27.33,0
window treatment store,0,0,3,0,0%,0%,34,0
sail shades near me,0,0,3,0,0%,0%,58.67,0
sun shade awnings oklahoma city,0,0,3,7,0%,0%,65,84.57
custom shade sails near me,0,0,3,0,0%,0%,67,0
graber simple selections,0,0,3,6,0%,0%,81.67,86
edmond custom window treatments,0,0,2,0,0%,0%,10,0
security shutters edmond ok,0,0,2,0,0%,0%,10,0
edmond window treatments,0,0,2,4,0%,0%,10.5,13
motorized blinds okc,0,0,2,0,0%,0%,10.5,0
custom blinds edmond,0,0,2,0,0%,0%,11.5,0
custom blinds okc,0,0,2,4,0%,0%,12,11.5
edmond custom blinds and shades,0,0,2,0,0%,0%,12.5,0
edmond custom window coverings,0,0,2,1,0%,0%,12.5,10
oklahoma city roman shades,0,0,2,0,0%,0%,12.5,0
custom window treatments near me,0,0,2,0,0%,0%,13,0
oklahoma city window treatments,0,0,2,1,0%,0%,13.5,12
oklahoma city custom window treatments,0,0,2,0,0%,0%,14,0
blinds edmond,0,0,2,0,0%,0%,15,0
oklahoma city custom blinds and shades,0,0,2,0,0%,0%,15.5,0
oklahoma city motorized blinds,0,0,2,0,0%,0%,15.5,0
window covering oklahoma city,0,0,2,0,0%,0%,15.5,0
custom curtains and drapes oklahoma city,0,0,2,6,0%,0%,16,50.33
oklahoma city custom window coverings,0,0,2,0,0%,0%,16.5,0
oklahoma city motorized shades,0,0,2,0,0%,0%,16.5,0
oklahoma city roller shades,0,0,2,0,0%,0%,17,0
oklahoma city custom blinds,0,0,2,0,0%,0%,18.5,0
motorized shades near me,0,0,2,0,0%,0%,36,0
window treatments near me,0,0,2,0,0%,0%,52,0
window shades near me,0,0,2,0,0%,0%,87,0
shades in the sun,0,0,1,0,0%,0%,3,0
motorized blinds near me,0,0,1,4,0%,0%,6,11
sun shades,0,0,1,0,0%,0%,7,0
sun and shade rooms,0,0,1,0,0%,0%,11,0
"automated blinds oklahoma city, ok",0,0,1,1,0%,0%,12,17
"motorized blinds oklahoma city, ok",0,0,1,1,0%,0%,12,18
"motorized window shades, edmond, ok",0,0,1,0,0%,0%,12,0
roller shades oklahoma city,0,0,1,0,0%,0%,12,0
graber blinds near me,0,0,1,0,0%,0%,13,0
window treatments oklahoma city,0,0,1,0,0%,0%,13,0
motorized window treatments near me,0,0,1,2,0%,0%,14,6
oklahoma city commercial blinds,0,0,1,0,0%,0%,14,0
oklahoma city outdoor shades,0,0,1,0,0%,0%,15,0
custom curtains oklahoma city,0,0,1,6,0%,0%,17,57.83
"automatic blinds edmond, ok",0,0,1,0,0%,0%,18,0
oklahoma city office blinds,0,0,1,0,0%,0%,19,0
sunman custom blinds,0,0,1,0,0%,0%,20,0
"lutron shades, oklahoma city, ok",0,0,1,0,0%,0%,24,0
plantation shutters near me,0,0,1,0,0%,0%,32,0
window blinds near me,0,0,1,0,0%,0%,34,0
roman shades near me,0,0,1,0,0%,0%,40,0
window coverings near me,0,0,1,0,0%,0%,43,0
shaded window coverings,0,0,1,0,0%,0%,48,0
window shade repair near me,0,0,1,0,0%,0%,50,0
motorized patio shades oklahoma city,0,0,1,2,0%,0%,55,52.5
local shade,0,0,1,3,0%,0%,73,68.33
window shutters sun city,0,0,1,2,0%,0%,77,57
commercial motorized shading oklahoma city,0,0,1,0,0%,0%,93,0
shade structures okc,0,0,1,2,0%,0%,96,91
sun shade canopy okc,0,0,1,0,0%,0%,100,0
motorized porch shades oklahoma city,0,0,0,4,0%,0%,0,52.25
curtain installation oklahoma city,0,0,0,4,0%,0%,0,61.75
made in the shade,0,0,0,2,0%,0%,0,10.5
shade company,0,0,0,2,0%,0%,0,70
sun shade companies,0,0,0,1,0%,0%,0,93
wood windows edmond,0,0,0,1,0%,0%,0,97
shade sail okc,0,0,0,1,0%,0%,0,98