Date,Clicks,Impressions,CTR,Position
2025-10-04,1,139,0.72%,20.53
2025-10-03,0,64,0%,25.8
2025-10-02,0,98,0%,21.38
2025-10-01,0,343,0%,17.38
2025-09-30,0,103,0%,28.99
2025-09-29,0,82,0%,26.73
2025-09-28,0,66,0%,35.65
2025-09-27,0,84,0%,23.38
2025-09-26,0,89,0%,40.08
2025-09-25,0,71,0%,26.37
2025-09-24,0,51,0%,30.82
2025-09-23,0,79,0%,31.78
2025-09-22,0,71,0%,28
2025-09-21,0,39,0%,20.03
2025-09-20,3,89,3.37%,26.1
2025-09-19,1,76,1.32%,30.63
2025-09-18,0,79,0%,28.56
2025-09-17,0,81,0%,29.21
2025-09-16,0,86,0%,27.8
2025-09-15,0,69,0%,30.14
2025-09-14,0,71,0%,29.17
2025-09-13,0,73,0%,23.9
2025-09-12,0,55,0%,31.71
2025-09-11,0,114,0%,40.21
2025-09-10,0,167,0%,35.25
2025-09-09,0,181,0%,37.6
2025-09-08,0,146,0%,36.92
2025-09-07,0,335,0%,22.05
2025-09-06,1,425,0.24%,29.73
2025-09-05,1,124,0.81%,34.84
2025-09-04,0,221,0%,35.55
2025-09-03,1,140,0.71%,37.48
2025-09-02,0,212,0%,38.25
2025-09-01,0,145,0%,38.5
2025-08-31,0,253,0%,32.26
2025-08-30,1,339,0.29%,35.79
2025-08-29,1,150,0.67%,40.2
2025-08-28,1,244,0.41%,36.66
2025-08-27,1,127,0.79%,43.06
2025-08-26,0,161,0%,30.61
2025-08-25,0,147,0%,36.07
2025-08-24,0,195,0%,32.47
2025-08-23,0,279,0%,32.92
2025-08-22,0,145,0%,36.65
2025-08-21,0,161,0%,34.75
2025-08-20,0,99,0%,35.97
2025-08-19,0,153,0%,31.08
2025-08-18,0,96,0%,33.14
2025-08-17,0,176,0%,33.52
2025-08-16,0,72,0%,36.74
2025-08-15,0,57,0%,44.86
2025-08-14,0,187,0%,39.95
2025-08-13,0,57,0%,43.82
2025-08-12,0,132,0%,43.2
2025-08-11,0,54,0%,41.59
2025-08-10,2,200,1%,41.34
2025-08-09,0,205,0%,34.81
2025-08-08,0,107,0%,33.64
2025-08-07,0,137,0%,32.01
2025-08-06,0,71,0%,38.08
2025-08-05,1,168,0.6%,32.69
2025-08-04,0,116,0%,37.24
2025-08-03,0,202,0%,34.25
2025-08-02,0,240,0%,34.73
2025-08-01,0,100,0%,36.83
2025-07-31,0,166,0%,32.34
2025-07-30,0,102,0%,39.67
2025-07-29,0,169,0%,33.22
2025-07-28,0,104,0%,40.64
2025-07-27,0,161,0%,36.08
2025-07-26,1,248,0.4%,35.21
2025-07-25,0,127,0%,38.43
2025-07-24,0,180,0%,31.38
2025-07-23,0,106,0%,35.45
2025-07-22,0,159,0%,30.81
2025-07-21,0,115,0%,41.38
2025-07-20,0,179,0%,33.98
2025-07-19,1,228,0.44%,34.06
2025-07-18,0,120,0%,33.09
2025-07-17,0,171,0%,30.88
2025-07-16,3,101,2.97%,31.04
2025-07-15,0,174,0%,31.45
2025-07-14,0,121,0%,37.33
2025-07-13,0,154,0%,34.7
2025-07-12,0,259,0%,35.57
2025-07-11,0,185,0%,38.47
2025-07-10,0,174,0%,34.41
2025-07-09,1,112,0.89%,31.53
2025-07-08,0,252,0%,23.7
2025-07-07,2,243,0.82%,22.51
2025-07-06,0,177,0%,22.95
2025-07-05,1,278,0.36%,32.06